,姓名,性别,民族,出生日期(YYYY-MM-DD),籍贯省,籍贯市,籍贯县/区,最高学历,党派信息,现状,军队,开除党籍,查处/罢黜原因,查处/罢黜原因备注,是否复出,查处/罢黜时间,最初查处单位,是否起诉,起诉罪名,涉案金额,一审时间,审理地点（一级地区关键词）,审理地点（二级地区关键词）,一审判决,是否上诉,二审时间,二审判决
46,陈伟(浙江省),男,汉族,01/10/1966,浙江省,金华市,,博士,01/02/1987,降/辞/撤职,,是,违纪,降为科级非领导职务,是,28/02/2015,山东省纪委,否,,,,,,,,,
47,张术平,男,汉族,01/01/1964,山东省,潍坊市,诸城市,硕士,01/06/1985,在职,,,,,,,,,,,,,,,,,
48,耿文清,男,汉族,01/10/1955,山东省,潍坊市,青州市,硕士,01/05/1984,降/辞/撤职,,否,违纪,2010年12月，山东省统战部网站上其名字被撤掉，后再无任何消息,否,01/12/2012,山东省纪委,否,,,,,,,,,
49,李洪峰,男,汉族,01/06/1956,山东省,潍坊市,青州市,硕士,01/11/1975,在职,,,,,,,,,,,,,,,,,
50,鲍志强,男,汉族,01/02/1949,山东省,青岛市,胶州县,硕士,01/12/1973,退休,,,,,,,,,,,,,,,,,
51,杨鲁豫,男,汉族,01/03/1957,山东省,日照市,莒县,博士,01/07/1985,立案查处,,是,贪污腐败,,否,06/04/2016,中纪委,是,受贿罪,人民币2327万元,23/03/2017,河南省,平顶山市,14年有期徒刑,否,,
52,贾学英,男,汉族,01/09/1953,山东省,菏泽市,鄄城县,专科,01/04/1976,在职,,,,,,,,,,,,,,,,,
53,王云鹏,男,汉族,01/11/1961,山东省,菏泽市,巨野县,硕士,01/08/1982,在职,,,,,,,,,,,,,,,,,
54,李玉妹,女,汉族,01/10/1956,山东省,临沂市,沂南县,硕士,01/04/1976,在职,,,,,,,,,,,,,,,,,
55,于建成,男,汉族,01/11/1953,山东省,威海市,文登市,专科,01/12/1973,在职,,,,,,,,,,,,,,,,,
56,刘富春,男,汉族,01/02/1950,山东省,德州市,夏津县,硕士,01/01/1971,退休,,,,,,,,,,,,,,,,,
57,杨宜新,男,汉族,01/05/1964,湖北省,荆州市,公安县,硕士,01/04/1988,在职,,,,,,,,,,,,,,,,,
58,于希信,男,汉族,01/04/1950,山东省,烟台市,招远市,专科,01/04/1973,退休,,,,,,,,,,,,,,,,,
59,乔延春,男,汉族,01/08/1948,山东省,烟台市,龙口市,本科,01/01/1972,退休,,,,,,,,,,,,,,,,,
