,姓名,性别,民族,出生日期(YYYY-MM-DD),籍贯省,籍贯市,籍贯县/区,最高学历,党派信息,现状,军队,开除党籍,查处/罢黜原因,查处/罢黜原因备注,是否复出,查处/罢黜时间,最初查处单位,是否起诉,起诉罪名,涉案金额,一审时间,审理地点（一级地区关键词）,审理地点（二级地区关键词）,一审判决,是否上诉,二审时间,二审判决
444,马中平,男,汉族,01/10/1950,陕西省,榆林市,绥德县,硕士,01/03/1971,在职,,,,,,,,,,,,,,,,,
445,千军昌,男,汉族,01/02/1956,陕西省,西安市,户县,硕士,01/09/1976,在职,,,,,,,,,,,,,,,,,
446,姜锋,男,汉族,01/05/1960,陕西省,渭南市,澄城县,硕士,01/07/1987,在职,,,,,,,,,,,,,,,,,
447,张立勇,男,汉族,01/10/1955,山东省,威海市,荣成县,硕士,01/06/1974,在职,,,,,,,,,,,,,,,,,
448,李堂堂,男,汉族,01/12/1954,陕西省,宝鸡市,,硕士,01/06/1974,立案查处,,是,贪污腐败,,否,15/10/2009,中纪委,是,受贿罪,人民币768万余元,08/04/2011,重庆市,,无期徒刑,否,,
449,上官吉庆,男,汉族,01/03/1963,陕西省,咸阳市,乾县,硕士,01/03/1982,在职,,,,,,,,,,,,,,,,,
450,戴征社,男,汉族,01/11/1960,陕西省,咸阳市,武功县,硕士,01/12/1986,在职,,,,,,,,,,,,,,,,,
451,王宏(陕西省),男,汉族,01/08/1954,陕西省,咸阳市,泾阳县,硕士,01/06/1978,在职,,,,,,,,,,,,,,,,,
452,唐俊昌,男,汉族,01/05/1957,陕西省,西安市,,博士,01/05/1994,在职,,,,,,,,,,,,,,,,,
453,吴登昌,男,汉族,01/09/1951,辽宁省,鞍山市,海城县,硕士,01/12/1972,在职,,,,,,,,,,,,,,,,,
454,庞家钰,男,汉族,01/04/1944,山东省,泰安市,肥城县,本科,01/01/1966,立案查处,,是,贪污腐败,,否,15/09/2006,中纪委,是,受贿罪、玩忽职守罪,人民币48万元,28/06/2008,甘肃省,兰州市,12年有期徒刑,否,,
455,王莉霞,女,蒙古族,01/06/1964,辽宁省,朝阳市,建平县,博士,01/12/1992,在职,,,,,,,,,,,,,,,,,
456,李晓东,男,汉族,01/10/1954,陕西省,宝鸡市,岐山县,硕士,01/05/1988,在职,,,,,,,,,,,,,,,,,
457,冯新柱,男,汉族,01/07/1960,陕西省,汉中市,洋县,博士,01/06/1985,在职,,,,,,,,,,,,,,,,,
458,吴前进,男,汉族,01/01/1956,陕西省,商洛市,柞水县,博士,01/04/1980,在职,,,,,,,,,,,,,,,,,
459,赵正永,男,汉族,01/03/1951,安徽省,马鞍山市,,硕士,01/11/1973,在职,,,,,,,,,,,,,,,,,
460,娄勤俭,男,汉族,01/12/1956,贵州省,遵义市,桐梓县,博士,01/08/1975,在职,,,,,,,,,,,,,,,,,
461,毛万春,男,汉族,01/11/1961,河南省,安阳市,汤阴县,硕士,01/08/1983,在职,,,,,,,,,,,,,,,,,
462,江泽林,男,汉族,01/10/1959,安徽省,安庆市,,博士,01/06/1985,在职,,,,,,,,,,,,,,,,,
463,李锦斌,男,汉族,01/02/1958,四川省,成都市,,博士,01/09/1978,在职,,,,,,,,,,,,,,,,,
464,景俊海,男,汉族,01/12/1960,陕西省,渭南市,白水县,硕士,01/07/1982,在职,,,,,,,,,,,,,,,,,
465,安东,男,汉族,01/11/1954,山东省,滨州市,阳信县,博士,01/02/1985,在职,,,,,,,,,,,,,,,,,
466,刘小燕,女,汉族,01/11/1958,陕西省,安康市,,硕士,01/12/1985,在职,,,,,,,,,,,,,,,,,
467,程安东,男,汉族,01/10/1936,安徽省,淮南市,,本科,01/06/1980,退休,,,,,,,,,,,,,,,,,
468,贾治邦,男,汉族,01/11/1946,陕西省,延安市,吴起县,本科,01/04/1962,在职,,,,,,,,,,,,,,,,,
469,陈德铭,男,汉族,01/03/1949,上海市,,,博士,01/09/1974,在职,,,,,,,,,,,,,,,,,
470,董雷,男,汉族,01/11/1942,河南省,开封市,开封县,硕士,01/05/1965,退休,,,,,,,,,,,,,,,,,
471,张保庆,男,汉族,01/06/1944,陕西省,汉中市,城固县,专科,01/08/1978,退休,,,,,,,,,,,,,,,,,
472,杨永茂,男,汉族,01/10/1947,黑龙江省,哈尔滨市,巴彦县,硕士,01/12/1965,退休,,,,,,,,,,,,,,,,,
473,杨士秋,男,汉族,01/09/1953,吉林省,长春市,农安县,硕士,01/12/1973,退休,,,,,,,,,,,,,,,,,
474,马铁山,男,汉族,01/05/1946,山西省,运城市,稷山县,硕士,01/12/1979,在职,,,,,,,,,,,,,,,,,
475,励小捷,男,汉族,01/06/1955,浙江省,宁波市,鄞州区,硕士,01/02/1977,在职,,,,,,,,,,,,,,,,,
476,洪峰,男,汉族,01/11/1954,安徽省,宣城市,绩溪县,硕士,01/09/1974,退休,,,,,,,,,,,,,,,,,
477,葛乐夫,男,汉族,01/06/1963,黑龙江省,哈尔滨市,依兰县,博士,01/07/1985,在职,,,,,,,,,,,,,,,,,
478,许卫国,男,汉族,01/03/1955,辽宁省,营口市,盖州市,硕士,01/07/1974,退休,,,,,,,,,,,,,,,,,
479,孟凡利,男,汉族,01/11/1945,辽宁省,盘锦市,,不详,,退休,,,,,,,,,,,,,,,,,
480,程亚军,男,汉族,01/12/1951,辽宁省,盘锦市,大洼县,本科,01/12/1972,退休,,,,,,,,,,,,,,,,,
481,赵化明,男,汉族,01/09/1957,辽宁省,锦州市,黑山县,硕士,01/04/1986,在职,,,,,,,,,,,,,,,,,
482,魏小鹏,男,汉族,01/06/1959,辽宁省,大连市,,博士后,01/04/1986,在职,,,,,,,,,,,,,,,,,
483,赵明鹏,男,汉族,01/05/1958,吉林省,白山市,,博士,01/09/1985,在职,,,,,,,,,,,,,,,,,
484,魏俊星,男,汉族,01/10/1955,辽宁省,锦州市,黑山县,硕士,01/05/1982,立案查处,,是,贪污腐败,,否,16/01/2015,辽宁省纪委,是,受贿罪、贪污罪、挪用公款罪、滥用职权罪、巨额财产来源不明罪,,13/04/2016,辽宁省,抚顺市,,,,
485,刘凤海,男,汉族,01/11/1957,,,,本科,01/12/1985,在职,,,,,,,,,,,,,,,,,
486,崔文信,男,汉族,01/01/1946,河北省,保定市,徐水市,本科,01/07/1975,退休,,,,,,,,,,,,,,,,,
487,褚光宇,男,汉族,,辽宁省,锦州市,凌海市,专科,01/06/1965,退休,,,,,,,,,,,,,,,,,
488,佟志武,男,汉族,01/09/1954,辽宁省,沈阳市,,本科,01/03/1983,在职,,,,,,,,,,,,,,,,,
489,刘志强,男,汉族,01/07/1953,辽宁省,葫芦岛市,绥中县,本科,01/06/1974,退休,,,,,,,,,,,,,,,,,
490,王文权,男,汉族,01/03/1956,吉林省,四平市,梨树县,硕士,01/06/1975,在职,,,,,,,,,,,,,,,,,
491,陈明月,男,汉族,01/06/1944,江苏省,徐州市,铜山区,本科,01/04/1966,退休,,,,,,,,,,,,,,,,,
492,姜作勇,男,汉族,01/01/1952,山东省,烟台市,蓬莱市,专科,01/06/1972,死亡,,,,,,,,,,,,,,,,,
493,陈铁新,男,汉族,01/04/1955,辽宁省,辽阳市,灯塔市,博士,01/03/1975,立案查处,,是,贪污腐败,,否,25/07/2014,中纪委,,,,,,,,,,
494,赵连生,男,汉族,01/12/1959,河北省,沧州市,沧县,硕士,01/06/1985,在职,,,,,,,,,,,,,,,,,
495,石光,男,汉族,01/09/1958,辽宁省,抚顺市,,硕士,01/03/1983,在职,,,,,,,,,,,,,,,,,
496,关永光,男,汉族,01/05/1945,广东省,佛山市,南海县,本科,,退休,,,,,,,,,,,,,,,,,
497,蔡哲夫,男,汉族,01/06/1954,辽宁省,沈阳市,,本科,,死亡,,,,,,,,,,,,,,,,,
498,朱绍毅,男,汉族,01/08/1948,,,,硕士,01/06/1970,退休,,,,,,,,,,,,,,,,,
499,薛恒,男,汉族,01/11/1955,辽宁省,葫芦岛市,绥中县,硕士,01/06/1974,在职,,,,,,,,,,,,,,,,,
500,戴玉林,男,汉族,01/04/1959,江苏省,南京市,,硕士,01/11/1985,在职,,,,,,,,,,,,,,,,,
501,吴起成,男,,,,,,不详,,退休,,,,,,,,,,,,,,,,,
502,刘国强(辽宁省),男,汉族,01/12/1953,辽宁省,本溪市,,硕士,,在职,,,,,,,,,,,,,,,,,
503,高宏彬,男,汉族,01/10/1971,山东省,烟台市,蓬莱市,硕士,01/11/1992,在职,,,,,,,,,,,,,,,,,
504,王专,男,汉族,01/05/1947,辽宁省,沈阳市,新民市,专科,01/05/1974,退休,,,,,,,,,,,,,,,,,
505,李波,男,汉族,01/10/1949,吉林省,通化市,辉南县,本科,01/04/1985,退休,,,,,,,,,,,,,,,,,
506,江瑞,男,满族,01/05/1958,,,,硕士,,在职,,,,,,,,,,,,,,,,,
507,彭益民,男,汉族,01/06/1956,内蒙古自治区,赤峰市,喀喇沁旗西桥乡,硕士,01/06/1974,在职,,,,,,,,,,,,,,,,,
508,王大平,男,汉族,01/08/1955,辽宁省,丹东市,,本科,,在职,,,,,,,,,,,,,,,,,
509,栾庆伟,男,汉族,01/11/1962,黑龙江省,齐齐哈尔市,,博士,01/06/1986,立案查处,,是,贪污腐败,,否,16/09/2015,辽宁省纪委,是,,,,,,,,,
510,陈家洱,男,汉族,01/06/1942,广东省,阳江市,,本科,01/06/1983,退休,,,,,,,,,,,,,,,,,
511,周银校,男,汉族,01/10/1946,浙江省,杭州市,,本科,01/06/1973,立案查处,,是,贪污腐败,,否,25/11/2005,辽宁省纪委,是,受贿罪,人民币122万元,04/08/2006,辽宁省,本溪市,14年有期徒刑,是,17/12/2006,维持原判
512,周忠轩,男,汉族,01/12/1955,辽宁省,葫芦岛市,建昌县,博士,01/04/1975,在职,,,,,,,,,,,,,,,,,
513,刘强(辽宁省),男,汉族,01/02/1964,辽宁省,沈阳市,法库县,博士,,在职,,,,,,,,,,,,,,,,,
514,王桂芬,女,汉族,01/06/1965,黑龙江省,哈尔滨市,阿城区,硕士,01/07/1985,在职,,,,,,,,,,,,,,,,,
515,吴忠琼,女,汉族,01/09/1964,,,,硕士,01/12/1987,在职,,,,,,,,,,,,,,,,,
516,王阳,男,汉族,01/02/1957,陕西省,渭南市,合阳县,硕士,01/09/1984,立案查处,,是,贪污腐败,,否,15/03/2016,中纪委,是,受贿罪、破坏选举罪,人民币6291万元,21/04/2017,黑龙江省,大庆市,16.5年有期徒刑,否,,
517,张利藩,男,汉族,18/06/1945,辽宁省,营口市,盖州市,本科,,退休,,,,,,,,,,,,,,,,,
518,王世伟,男,汉族,01/03/1959,辽宁省,,,硕士,01/06/1983,在职,,,,,,,,,,,,,,,,,
519,谷春立,男,汉族,01/07/1957,辽宁省,葫芦岛市,,博士,01/06/1984,立案查处,,是,贪污腐败,,否,01/08/2015,中纪委,是,受贿罪,人民币4365万元,31/12/2016,黑龙江省,哈尔滨市,12年有期徒刑,否,,
520,张杰辉,男,汉族,01/01/1957,辽宁省,丹东市,宽甸满族自治县,博士,01/09/1976,在职,,,,,,,,,,,,,,,,,
521,李英杰,男,汉族,01/03/1950,湖南省,长沙市,,硕士,01/06/1973,退休,,,,,,,,,,,,,,,,,
522,李万才,男,汉族,01/04/1955,辽宁省,营口市,,硕士,01/11/1974,在职,,,,,,,,,,,,,,,,,
523,唐军,男,汉族,01/05/1962,江苏省,盐城市,建湖县,本科,01/01/1986,在职,,,,,,,,,,,,,,,,,
524,夏德仁,男,汉族,01/06/1955,山东省,威海市,荣城县,硕士,01/07/1985,在职,,,,,,,,,,,,,,,,,
525,陈政高,男,汉族,01/03/1952,辽宁省,鞍山市,海城市,硕士,01/02/1972,在职,,,,,,,,,,,,,,,,,
526,闻世震,男,汉族,01/01/1940,辽宁省,鞍山市,海城市,本科,01/12/1979,退休,,,,,,,,,,,,,,,,,
527,张文岳,男,汉族,01/10/1944,福建省,南平市,浦城县,本科,01/06/1965,退休,,,,,,,,,,,,,,,,,
528,曹征海,男,汉族,01/03/1960,山西省,大同市,,博士,01/03/1988,在职,,,,,,,,,,,,,,,,,
529,伏来旺,男,蒙古族,01/10/1949,内蒙古自治区,包头市,土右旗,硕士,01/04/1976,退休,,,,,,,,,,,,,,,,,
530,张国民,男,彝族,01/10/1944,四川省,攀枝花市,,硕士,01/08/1974,退休,,,,,,,,,,,,,,,,,
531,任亚平,男,汉族,01/09/1952,山西省,忻州市,五台县,硕士,01/11/1970,在职,,,,,,,,,,,,,,,,,
532,杨利民,男,汉族,01/12/1948,甘肃省,酒泉市,,本科,01/06/1981,退休,,,,,,,,,,,,,,,,,
533,乌云其木格,女,蒙古族,01/12/1942,辽宁省,朝阳市,北票市,本科,01/07/1966,退休,,,,,,,,,,,,,,,,,
534,刘明祖,男,汉族,01/09/1936,山东省,威海市,,专科,01/11/1959,退休,,,,,,,,,,,,,,,,,
535,乌兰,女,蒙古族,01/11/1962,内蒙古自治区,通辽市,科左中旗,硕士,01/11/1984,在职,,,,,,,,,,,,,,,,,
536,巴特尔,男,蒙古族,01/02/1955,辽宁省,沈阳市,康平县,硕士,01/12/1981,在职,,,,,,,,,,,,,,,,,
537,张院忠,男,汉族,01/11/1959,内蒙古自治区,包头市,,本科,,在职,,,,,,,,,,,,,,,,,
538,于永泉,男,蒙古族,01/10/1955,内蒙古自治区,赤峰市,宁城县,专科,01/06/1975,退休,,,,,,,,,,,,,,,,,
539,刘俊臣,男,汉族,01/05/1963,河南省,驻马店市,上蔡县,博士,01/05/1985,在职,,,,,,,,,,,,,,,,,
540,张国华(河北省),男,汉族,01/02/1959,河北省,沧州市,东光县,硕士,01/11/1986,在职,,,,,,,,,,,,,,,,,
541,荣天厚,男,蒙古族,01/12/1952,内蒙古自治区,呼和浩特市,土默特左旗,本科,,在职,,,,,,,,,,,,,,,,,
542,刘卓志,男,汉族,01/12/1953,吉林省,四平市,双辽市,本科,01/04/1976,立案查处,,是,贪污腐败,,否,15/12/2010,中纪委,是,受贿罪,人民币870万元,02/07/2012,北京市,,无期徒刑,否,,
543,布和朝鲁,男,,,,,,,,退休,,,,,,,,,,,,,,,,,
544,陈朋山,女,汉族,01/05/1949,江苏省,南京市,江浦县,专科,01/11/1973,退休,,,,,,,,,,,,,,,,,
545,冯玉臻,男,汉族,01/07/1963,内蒙古自治区,呼和浩特市,和林格尔县,硕士,,在职,,,,,,,,,,,,,,,,,
546,陶建,男,汉族,01/02/1957,,,,硕士,01/12/1981,在职,,,,,,,,,,,,,,,,,
547,云喜顺,男,蒙古族,01/07/1959,内蒙古自治区,呼和浩特市,,,01/10/1981,在职,,,,,,,,,,,,,,,,,
548,王玉明,男,,01/01/1957,内蒙古自治区,巴彦淖尔市,乌拉特前旗,本科,01/01/1985,在职,,,,,,,,,,,,,,,,,
549,布小林,女,蒙古族,01/08/1958,内蒙古自治区,呼和浩特市,土左旗,博士,01/06/1985,在职,,,,,,,,,,,,,,,,,
550,吴金亮,男,汉族,01/06/1952,陕西省,榆林市,府谷县,硕士,,退休,,,,,,,,,,,,,,,,,
551,陶克,男,蒙古族,01/11/1949,内蒙古自治区,,,硕士,,退休,,,,,,,,,,,,,,,,,
552,任英超,男,,,,,,,,退休,,,,,,,,,,,,,,,,,
553,苗银柱,男,汉族,01/10/1957,内蒙古自治区,鄂尔多斯市,达拉特旗,本科,01/08/1978,在职,,,,,,,,,,,,,,,,,
554,杨汉忠,男,汉族,01/10/1954,山西省,大同市,阳高县,硕士,,立案查处,,是,贪污腐败,,否,01/06/2012,内蒙古自治区纪委,是,受贿罪、滥用职权罪,,30/09/2013,内蒙古自治区,包头市,死缓,否,,
555,崔国柱,男,汉族,26/12/1950,内蒙古自治区,鄂尔多斯市,,硕士,,在职,,,,,,,,,,,,,,,,,
556,杜学军,男,蒙古族,01/05/1965,内蒙古自治区,呼伦贝尔市,莫力达瓦达斡尔族自治旗,硕士,01/06/1988,在职,,,,,,,,,,,,,,,,,
557,邓月楼,男,蒙古族,01/03/1960,内蒙古自治区,赤峰市,喀喇沁旗,本科,01/06/1984,在职,,,,,,,,,,,,,,,,,
558,郭健,男,蒙古族,01/02/1958,内蒙古自治区,赤峰市,阿鲁科尔沁旗,专科,01/06/1976,在职,,,,,,,,,,,,,,,,,
559,常海,男,蒙古族,01/02/1956,内蒙古自治区,兴安盟,科右中旗,硕士,01/10/1984,在职,,,,,,,,,,,,,,,,,
560,云二柱,男,蒙古族,,,,,,,退休,,,,,,,,,,,,,,,,,
561,吴永新,男,蒙古族,01/05/1953,内蒙古自治区,赤峰市,喀喇沁旗,本科,01/12/1983,退休,,,,,,,,,,,,,,,,,
562,陶淑菊,女,蒙古族,01/03/1962,内蒙古自治区,兴安盟,科尔沁右翼前旗,硕士,01/07/1983,立案查处,,是,贪污腐败,,否,28/04/2016,内蒙古自治区纪委,是,受贿罪,人民币2500万元,21/04/2017,内蒙古自治区,巴彦淖尔市,,,,
563,王学丰,男,汉族,01/06/1963,陕西省,榆林市,神木县,硕士,01/01/1989,在职,,,,,,,,,,,,,,,,,
564,李万忠,男,汉族,01/10/1954,内蒙古自治区,锡林郭勒盟,多伦县,硕士,,退休,,,,,,,,,,,,,,,,,
565,段志强,男,蒙古族,01/07/1962,内蒙古自治区,兴安盟,扎赉特旗,硕士,01/07/1987,在职,,,,,,,,,,,,,,,,,
566,何永林,男,汉族,01/08/1962,山西省,临汾市,霍州,硕士,01/04/1991,在职,,,,,,,,,,,,,,,,,
567,王素毅,男,蒙古族,01/06/1961,内蒙古自治区,呼和浩特市,土左旗,硕士,01/06/1986,立案查处,,是,贪污腐败,,否,01/06/2013,中纪委,是,受贿罪,人民币1073万元,17/07/2014,北京市,,无期徒刑,否,,
568,张利平,男,汉族,01/09/1960,内蒙古自治区,赤峰市,松山区,本科,01/07/1987,在职,,,,,,,,,,,,,,,,,
569,罗志虎,男,蒙古族,01/08/1964,内蒙古自治区,阿拉善盟,阿拉善左旗,硕士,01/03/1985,在职,,,,,,,,,,,,,,,,,
570,梁铁城,男,蒙古族,01/11/1956,辽宁省,朝阳市,喀左县,硕士,01/08/1976,在职,,,,,,,,,,,,,,,,,
571,郭子明,男,汉族,01/01/1948,山西省,忻州市,,本科,01/10/1970,退休,,,,,,,,,,,,,,,,,
572,廉素,男,汉族,01/06/1958,内蒙古自治区,鄂尔多斯市,准格尔旗,本科,01/01/1982,在职,,,,,,,,,,,,,,,,,
573,云光中,男,蒙古族,01/08/1960,内蒙古自治区,呼和浩特市,土左旗,硕士,01/11/1979,在职,,,,,,,,,,,,,,,,,
574,刘锦,男,汉族,01/04/1952,山西省,忻州市,代县,本科,01/12/1974,在职,,,,,,,,,,,,,,,,,
575,云峰,男,蒙古族,01/06/1952,内蒙古自治区,呼和浩特市,托克托县,硕士,01/11/1979,在职,,,,,,,,,,,,,,,,,
576,杜梓,男,汉族,01/06/1955,内蒙古自治区,呼和浩特市,托克托县,本科,01/10/1974,在职,,,,,,,,,,,,,,,,,
577,符太增,男,,01/09/1956,辽宁省,锦州市,黑山县,本科,01/10/1974,在职,,,,,,,,,,,,,,,,,
578,祝广垲,男,汉族,01/01/1945,山东省,烟台市,蓬莱县,本科,,退休,,,,,,,,,,,,,,,,,
579,胡达古拉,女,蒙古族,01/03/1967,内蒙古自治区,通辽市,科左中旗,硕士,,在职,,,,,,,,,,,,,,,,,
580,赵双连,男,蒙古族,01/04/1957,内蒙古自治区,兴安盟,科尔沁右翼前旗,硕士,01/06/1980,在职,,,,,,,,,,,,,,,,,
581,王程熙,男,汉族,01/08/1956,陕西省,榆林市,府谷县,硕士,01/08/1979,在职,,,,,,,,,,,,,,,,,
582,罗啸天,男,汉族,01/02/1949,辽宁省,沈阳市,法库县,硕士,01/04/1971,退休,,,,,,,,,,,,,,,,,
583,刘玉祥(辽宁省),男,,01/08/1944,辽宁省,沈阳市,康平县,本科,01/06/1972,退休,,,,,,,,,,,,,,,,,
584,包满达,男,蒙古族,01/03/1958,内蒙古自治区,通辽市,科左中旗,硕士,01/04/1985,在职,,,,,,,,,,,,,,,,,
585,徐国元,男,汉族,01/07/1956,辽宁省,鞍山市,海城市,硕士,01/06/1976,立案查处,,是,贪污腐败,,否,27/12/2007,内蒙古自治区纪委,是,受贿罪、巨额财产来源不明罪,受贿罪人民币1241万元，巨额财产来源不明罪人民币1410万元,21/08/2009,内蒙古自治区,包头市,死缓,否,,
586,杭桂林,男,蒙古族,01/08/1954,辽宁省,朝阳市,,硕士,01/05/1982,在职,,,,,,,,,,,,,,,,,
587,高延青,男,蒙古族,,内蒙古自治区,呼和浩特市,土左旗,,,退休,,,,,,,,,,,,,,,,,
588,傅铁钢,男,汉族,01/04/1953,黑龙江省,齐齐哈尔市,讷河市,硕士,01/01/1977,退休,,,,,,,,,,,,,,,,,
589,鲍常青,男,蒙古族,01/03/1955,内蒙古自治区,兴安盟,科右前旗,专科,01/09/1980,在职,,,,,,,,,,,,,,,,,
590,哈斯巴根,男,蒙古族,01/11/1946,内蒙古自治区,兴安盟,突泉县,本科,01/01/1968,退休,,,,,,,,,,,,,,,,,
591,包钢,男,蒙古族,01/05/1969,辽宁省,阜新市,阜新蒙古族自治县,本科,01/12/1988,在职,,,,,,,,,,,,,,,,,
592,侯凤岐,男,汉族,01/03/1962,陕西省,榆林市,府谷,硕士,,在职,,,,,,,,,,,,,,,,,
593,白向群,男,蒙古族,01/09/1962,辽宁省,朝阳市,北票市,博士,01/01/1984,在职,,,,,,,,,,,,,,,,,
594,赵忠,男,汉族,01/08/1952,内蒙古自治区,包头市,固阳县,本科,01/04/1980,在职,,,,,,,,,,,,,,,,,
595,王中和,男,汉族,01/09/1957,内蒙古自治区,赤峰市,林西县,硕士,01/06/1981,在职,,,,,,,,,,,,,,,,,
596,郭启俊,男,汉族,01/12/1952,陕西省,榆林市,神木县,本科,01/07/1975,在职,,,,,,,,,,,,,,,,,
597,邢云,男,汉族,01/03/1952,内蒙古自治区,呼和浩特市,土默特左旗,硕士,01/03/1981,在职,,,,,,,,,,,,,,,,,
598,胡忠,男,汉族,01/03/1944,山西省,大同市,应县,本科,01/01/1981,退休,,,,,,,,,,,,,,,,,
599,孙炜东,男,蒙古族,01/10/1961,内蒙古自治区,赤峰市,喀喇沁旗,本科,01/03/1980,在职,,,,,,,,,,,,,,,,,
600,呼尔查,男,蒙古族,01/09/1954,内蒙古自治区,兴安盟,科右前旗,硕士,01/07/1973,在职,,,,,,,,,,,,,,,,,
601,苏青,男,蒙古族,01/04/1951,内蒙古自治区,呼和浩特市,土默特左旗,专科,01/10/1972,退休,,,,,,,,,,,,,,,,,
602,那顺孟和,男,蒙古族,01/11/1957,内蒙古自治区,赤峰市,巴林右旗,专科,01/02/1985,在职,,,,,,,,,,,,,,,,,
603,韩志然,男,蒙古族,01/02/1952,内蒙古自治区,通辽市,奈曼旗,本科,01/03/1978,降/辞/撤职,,否,违纪,留党察看2年，将为副厅级非领导职务,是,17/06/2015,中纪委,否,,,,,,,,,
604,牛玉儒,男,蒙古族,01/11/1952,内蒙古自治区,通辽市,,硕士,01/11/1975,死亡,,,,,,,,,,,,,,,,,
605,杨晶,男,蒙古族,01/12/1953,内蒙古自治区,鄂尔多斯市,准格尔旗,硕士,01/08/1976,在职,,,,,,,,,,,,,,,,,
606,秦义,男,汉族,01/09/1963,内蒙古自治区,赤峰市,,本科,01/04/1985,在职,,,,,,,,,,,,,,,,,
607,王波,男,汉族,01/10/1958,内蒙古自治区,赤峰市,翁牛特旗,硕士,01/04/1986,在职,,,,,,,,,,,,,,,,,
608,汤爱军,男,汉族,01/04/1950,内蒙古自治区,兴安盟,突泉县,专科,01/10/1972,立案查处,,是,贪污腐败,,否,16/08/2014,内蒙古自治区纪委,是,受贿罪,人民币1789万元,19/04/2016,内蒙古自治区,鄂尔多斯市,12年有期徒刑,否,,
609,柳秀,男,汉族,01/12/1948,山西省,忻州市,河曲县,硕士,01/09/1976,退休,,,,,,,,,,,,,,,,,
610,高军,男,汉族,01/09/1958,,,,硕士,01/03/1980,不详,,,,,,,,,,,,,,,,,
611,李文科,男,汉族,01/07/1956,辽宁省,葫芦岛市,绥中县,博士,01/02/1985,立案查处,,是,贪污腐败,,否,28/02/2017,中纪委,,,,,,,,,,
612,唐志国,男,汉族,01/10/1954,天津市,宝坻区,,本科,01/06/1975,退休,,,,,,,,,,,,,,,,,
613,孙远良,男,汉族,01/03/1955,辽宁省,朝阳市,建平县,硕士,01/08/1976,在职,,,,,,,,,,,,,,,,,
614,陈世南,男,汉族,01/07/1945,江苏省,扬州市,仙女镇双沟村,本科,,退休,,,,,,,,,,,,,,,,,
615,王正谱,男,汉族,01/08/1963,辽宁省,,,本科,01/04/1987,在职,,,,,,,,,,,,,,,,,
616,吴野松,男,汉族,01/10/1958,辽宁省,辽阳市,,硕士,01/07/1983,立案查处,,是,贪污腐败,,否,17/08/2016,辽宁省纪委,,,,,,,,,,
617,潘利国,男,汉族,01/08/1957,辽宁省,,,硕士,01/06/1985,在职,,,,,,,,,,,,,,,,,
618,姚辉,男,,,,,,不详,,退休,,,,,,,,,,,,,,,,,
619,林强,男,汉族,01/05/1969,河北省,秦皇岛市,青龙县,博士,01/01/1991,立案查处,,是,贪污腐败,,否,12/09/2014,辽宁省纪委,,,,,,,,,,
620,张竞强,男,汉族,01/12/1951,辽宁省,葫芦岛市,,硕士,01/06/1986,退休,,,,,,,,,,,,,,,,,
621,左大光,男,汉族,01/07/1950,黑龙江省,哈尔滨市,,硕士,01/06/1971,退休,,,,,,,,,,,,,,,,,
622,王明玉,男,汉族,01/10/1964,辽宁省,盘锦市,,硕士,01/06/1987,在职,,,,,,,,,,,,,,,,,
623,宋勇,男,汉族,01/01/1955,辽宁省,盘锦市,盘山县,硕士,01/09/1975,立案查处,,是,贪污腐败,,否,13/10/2009,中纪委,是,受贿罪,人民币1022万元,30/01/2011,北京市,,死缓,否,,
624,王大操,男,,,,,,不详,,退休,,,,,,,,,,,,,,,,,
625,于言良,男,汉族,01/01/1963,吉林省,通化市,,博士,01/07/1986,在职,,,,,,,,,,,,,,,,,
626,张铁民,男,汉族,01/08/1960,河北省,保定市,清苑县,硕士,01/12/1984,在职,,,,,,,,,,,,,,,,,
627,陈淑珍,女,汉族,01/08/1954,辽宁省,朝阳市,凌源市,本科,01/09/1976,退休,,,,,,,,,,,,,,,,,
628,孙国相,男,汉族,01/02/1965,辽宁省,丹东市,东港市,硕士,01/06/1985,在职,,,,,,,,,,,,,,,,,
629,陈海波,男,汉族,01/09/1962,吉林省,白城市,赉县,硕士,01/10/1982,在职,,,,,,,,,,,,,,,,,
630,曾维,男,汉族,01/12/1956,辽宁省,铁岭市,西丰县,硕士,01/03/1977,在职,,,,,,,,,,,,,,,,,
631,于捷,男,汉族,01/09/1949,,,,本科,01/03/1970,退休,,,,,,,,,,,,,,,,,
632,蹇彪,男,满族,01/05/1964,辽宁省,锦州市,黑山县,硕士,01/12/1985,在职,,,,,,,,,,,,,,,,,
633,孙兆林,男,汉族,01/06/1962,山东省,泰安市,,博士,01/10/1985,在职,,,,,,,,,,,,,,,,,
634,陈晓琨,男,汉族,01/11/1955,,,,本科,01/06/1975,在职,,,,,,,,,,,,,,,,,
635,骆琳,男,汉族,01/09/1955,辽宁省,大连市,,硕士,01/04/1976,在职,,,,,,,,,,,,,,,,,
636,都本伟,男,蒙古族,01/01/1958,内蒙古自治区,赤峰市,,博士,01/10/1987,在职,,,,,,,,,,,,,,,,,
637,刘铭,男,汉族,01/12/1954,辽宁省,沈阳市,新民市,博士,01/07/1982,退休,,,,,,,,,,,,,,,,,
638,张行湘,男,汉族,01/07/1945,山东省,滨州市,,本科,01/08/1973,退休,,,,,,,,,,,,,,,,,
639,徐文才,男,汉族,01/07/1944,辽宁省,铁岭市,西丰县,本科,01/12/1965,退休,,,,,,,,,,,,,,,,,
